run_timestamp,run_date,listing_count,median_price,mean_price,min_price,max_price,median_deposit,mean_deposit,deposit_listed_count,borough_count,build_to_rent_count,student_suitable_count,price_reduced_count
20260520_153034,20260520,35577,2730.0,4441.725144061841,50.0,368333.0,2750.0,4449.039371788376,27634,34,1232,3697,9347
20260520_234952,20260520,34982,2730.0,4470.489451114923,50.0,368333.0,2750.0,4469.086781986716,27402,34,1159,3588,9173
20260521_180501,20260521,35903,2711.0,4429.787081139802,50.0,368333.0,2750.0,4444.933892292809,27909,34,1243,3684,9387
20260528_190524,20260528,36101,2750.0,4421.965428405219,50.0,368333.0,2769.0,4467.156313896919,28366,34,1211,3705,9355
20260604_192618,20260604,36276,2750.0,4411.005072503722,50.0,368333.0,2769.0,4466.729037616362,28897,34,1163,3782,9387
20260611_201811,20260611,36792,2750.0,4384.430823593368,50.0,368333.0,2769.0,4442.280499813249,29451,34,1205,3849,9609
20260618_205515,20260618,35092,2700.0,4119.754089484183,50.0,368333.0,2769.0,4235.492953269048,28311,34,1110,3712,9388
20260625_192537,20260625,36398,2750.0,4389.325190965544,1.0,1000000.0,2826.0,4497.411933271927,29313,34,1154,3895,9455
20260702_194851,20260702,36588,2800.0,4423.244512478474,1.0,900000.0,2884.0,4486.302093956081,29418,34,1173,3826,9402
