listing_id,rent_amount,rent_frequency,rent_text,rent_amount_pcm,rent_amount_pw,location,postcode,listing_url,image_url,image_count,floorplan_count,virtual_tour_count,property_type,bedrooms,bathrooms,let_available_date,listing_status,tenure,students,online_viewings_available,build_to_rent,latitude,longitude,summary,featured,position_on_page,source_page_index
174577202,2050,pcm,"£2,050 pcm",,,"Brigadier Walk, London, SE18",,https://www.rightmove.co.uk/properties/174577202,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/d6a23cd3e/174577202/d6a23cd3ea81b02e696cb8f495554362_max_476x317.jpeg,,,,Apartment,1,1,,,,,,,,,"Luxury 1-bed apartment in prestigious off-plan development. Porter, lift, fitness studio, pool, cinema room. Fully furnished with balcony and communal gardens. Excellent transport links. Ideal for professionals. Contact us to book a viewing.",True,1,0
88665786,1339,pcm,"£1,339 pcm",1339,309,"Apex House, Harrow, HA1",,https://www.rightmove.co.uk/properties/88665786,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/824ef8a21/88665786/824ef8a21fbf35b4c9ed1310f236b3d6_max_476x317.jpeg,15,0,0,Studio,0,,2026-05-22T00:00:00Z,new,,False,False,False,51.579168,-0.338209,"LUXURY Studios at Dandi On The Hill - Stylish, light-filled flats with modern kitchens and bathrooms, set within vibrant communal spaces. On-site amenities include a gym, cinema room, co-working space, and Wi-Fi. Excellent transport links with fast services into London.",False,2,0
88665744,2000,pcm,"£2,000 pcm",2000,462,"Pasture View, Oaklands Lane, Smallford, St. Albans",,https://www.rightmove.co.uk/properties/88665744,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/ad73a64c8/88665744/ad73a64c879d68119f6f6ce9a04a0f11_max_476x317.jpeg,15,1,2,End of Terrace,2,2,2026-07-01T00:00:00Z,new,,False,False,False,51.758452,-0.273747,"A SPACIOUS and well-presented TWO-BEDROOM end of terraced house situated within a sought-after location within THE OAKLANDS AREA OF ST ALBANS, with PARKING.",False,3,0
174177713,1500,pcm,"£1,500 pcm",1500,346,"Oxford Road, Ealing",,https://www.rightmove.co.uk/properties/174177713,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/af486e2de/174177713/af486e2deb9ba3bdd949ea7317ea9aa9_max_476x317.jpeg,3,0,0,Flat,1,1,,price_reduced,,False,False,False,51.512783,-0.301621,A one bedroom flat full of character in a period conversion property with a modern kitchen and ample storage throughout. The apartment is ideal for a single professional tenant or couple.,False,4,0
87965994,1200,pcm,"£1,200 pcm",1200,277,"Pentonville Road, London",,https://www.rightmove.co.uk/properties/87965994,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/0d25cbbbe/87965994/0d25cbbbe6a62c86a0187fc0ae8d0da2_max_476x317.jpeg,5,0,0,House,1,1,,price_reduced,,False,False,False,51.531169,-0.120249,"## RENT INCLUDES WATER ## Alex Marks is pleased to offer this modern studio in the heart of Kings Cross, the room offers a private kitchen and private shower room that is opposite the room. It includes the cost of water, and the washing machines are shared throughout the whole building, it is a g...",False,5,0
88012101,1250,pcm,"£1,250 pcm",1250,288,"Salisbury Road, Monor House, London",,https://www.rightmove.co.uk/properties/88012101,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/e78d85c93/88012101/e78d85c935b0084dc28abd49b5ab1480_max_476x317.jpeg,6,0,0,Flat,1,1,2026-05-24T00:00:00Z,price_reduced,,False,False,False,51.581642,-0.098532,"## RENT INCLUDES THE HEATING, COUNCIL TAX AND WATER ## Alex Marks are pleased to offer this good size studio on the top floor of a period building, the property has wood floors throughout and is all open plan living, Being top floor the property has plenty of natural light and is close to Green L...",False,6,0
88312581,2400,pcm,"£2,400 pcm",2400,554,"Astell Road, Kidbrooke, London, SE3",,https://www.rightmove.co.uk/properties/88312581,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/5bdbf9aff/88312581/5bdbf9aff00c5615bdd4d3c254cff8a6_max_476x317.jpeg,8,1,0,Apartment,2,2,2026-05-14T00:00:00Z,price_reduced,,False,False,False,51.457366,0.029318,"We are pleased to present this modern two bedroom apartment located within the sought-after Grayston House development in Kidbrooke Village. Finished to a high standard throughout, the property offers bright and spacious accommodation ideal for professionals, or couples. The apartment...",False,7,0
88269471,1150,pcm,"£1,150 pcm",1150,265,"Finsbury Park Road, Finsbury Park, London",,https://www.rightmove.co.uk/properties/88269471,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/2cb5a1257/88269471/2cb5a12571d9cccaf309abab7cab3941_max_476x317.jpeg,5,0,0,House,1,1,2026-05-08T00:00:00Z,price_reduced,,False,False,False,51.562084,-0.099323,No summary available.,False,8,0
88665699,5568,pcm,"£5,568 pcm",5568,1285,"Acton Street, Kings Cross, London WC1X",,https://www.rightmove.co.uk/properties/88665699,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/368167cea/88665699/368167cea0e524cdd5bc915922e23370_max_476x317.jpeg,15,1,1,Semi-Detached,5,2,2026-07-17T00:00:00Z,new,,True,False,False,51.528439,-0.118499,A High Specification 1504 Sq Ft luxury 5 bedroom maisonette with additional study room set in Kings Cross close to Kings Cross St Pancras Station and on the edge of both Bloomsbury and Clerkenwell. Fantastic cycle routes and surrounded by green spaces.,False,9,0
88665705,3900,pcm,"£3,900 pcm",3900,900,"Salisbury House, Prince of Wales Drive",,https://www.rightmove.co.uk/properties/88665705,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/1ff33d4f0/88665705/1ff33d4f063b12ac355504189821c4dd_max_476x317.jpeg,27,1,0,Apartment,2,1,,new,,False,False,False,51.479118,-0.146433,A wonderful two bedroom apartment available in the highly sought after Prince of Wales development. The apartment features an open plan living and kitchen area with separate private balcony. Centrally located the property resides steps away from Battersea Park and close to to the shops a...,False,10,0
